idx,timestamp,duration,cpu/utilization,memory/utilization,network/data-in,network/data-out,memory/capacity,cpu/thermal-design-power,grid/carbon-intensity,device/emissions-embodied,time-reserved,device/expected-lifespan,resources-reserved,resources-total,functional-unit-time,memory/energy,network/energy,cpu/energy,energy,carbon-embodied,carbon-operational,carbon,sci
0,2024-04-08 14:00:00+00:00,300,49.985708909613194,17.145002683003742,2.7438050872688317e-07,1.1386791112165653e-06,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.004114800643920898,2.8261192398868968e-09,0.01249847406184316,0.0166132775318833,157.325,1.3551450482757208,0.5289338168275857,158.6801450482757
1,2024-04-08 14:05:00+00:00,300,42.61520726729,17.356672286987305,6.859674999009613e-08,2.7426699996038454e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.004165601348876953,6.857274999009614e-10,0.011670946109406473,0.015836548144010924,157.325,1.291787232106971,0.5287226241070232,158.61678723210696
2,2024-04-08 14:10:00+00:00,300,49.13741458705495,17.413272857666016,6.856674999009613e-08,2.7426692589603846e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.004179185485839843,6.856673517722692e-10,0.012407507963213738,0.016586694134720935,157.325,1.3529766405691865,0.5289265888018972,158.67797664056917
3,2024-04-08 14:15:00+00:00,300,43.60946824732535,17.413131395975753,6.837904365752413e-08,2.735161746300965e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.004179151535034181,6.837904365752412e-10,0.011788622866641393,0.01596777508546601,157.325,1.3024914137214623,0.5287583047124048,158.62749141372146
4,2024-04-08 14:20:00+00:00,300,47.94812670387665,17.413318951924637,6.814904365752413e-08,2.735167346300965e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.004179196548461913,6.833315565752413e-10,0.012278524811127726,0.016457722042921195,157.325,1.3424563870410817,0.5288915212901368,158.66745638704106
5,2024-04-08 14:25:00+00:00,300,44.62622445809058,17.41310914357503,6.678904365752414e-08,2.495167346300965e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.004179146194458008,6.326115565752413e-10,0.011906654194824463,0.01608580102189403,157.325,1.3121187893558959,0.5287903959645196,158.63711878935587
6,2024-04-08 14:30:00+00:00,300,48.464855654316295,17.41322199503581,6.873809095451751e-08,1.3747618190903502e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.004179173278808594,4.1242854572710507e-10,0.012334791535775052,0.016513965227012192,157.325,1.3470441435673843,0.5289068138118913,158.67204414356738
7,2024-04-08 14:35:00+00:00,300,36.85958561209994,17.413328488667805,6.347380909545176e-08,1.0999254297803864e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.004179198837280273,3.469327041469808e-10,0.010936025457326446,0.015115224641539424,157.325,1.2329488740103707,0.5285264962467011,158.55794887401035
8,2024-04-08 14:40:00+00:00,300,35.347429291505,17.41313934326172,6.673096142071653e-08,1.0999254297803864e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.004179153442382812,3.5344700879751035e-10,0.010724782125509456,0.014903935921339278,157.325,1.2157140531036448,0.5284690468436788,158.54071405310364
9,2024-04-08 14:45:00+00:00,300,48.4187954052908,17.413196563720703,6.783096142071654e-08,1.2999254297803863e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.0041791671752929695,3.9564700879751037e-10,0.012329790591913534,0.016508958162853513,157.325,1.346635717343961,0.5289054523911465,158.67163571734395
10,2024-04-08 14:50:00+00:00,300,46.6151915944258,17.413231531778973,6.813096142071653e-08,1.1479254297803864e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.0041791755676269535,3.6584700879751033e-10,0.012131579358191983,0.016310755291665945,157.325,1.330468309141191,0.5288515610304706,158.65546830914118
11,2024-04-08 14:55:00+00:00,300,51.49152278813774,17.414560317993164,6.523096142071654e-08,1.0939254297803863e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.0041794944763183595,3.4924700879751036e-10,0.0126581393668134,0.01683763419237877,157.325,1.3734458210723361,0.5289948194035744,158.6984458210723
12,2024-04-08 15:00:00+00:00,300,55.38958399228782,17.41807142893473,6.783096142071654e-08,1.2999254297803863e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.004180337142944335,3.9564700879751037e-10,0.013061349344069505,0.01724168688266085,157.325,1.4064043990186454,0.529104681330062,158.73140439901863
13,2024-04-08 15:05:00+00:00,300,47.44628666015924,17.41804281870524,6.597497609375237e-08,1.1949254297803864e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.004180330276489257,3.70935038143582e-10,0.012223519648764431,0.016403850296188727,157.325,1.3380620686601143,0.5288768735622004,158.6630620686601
14,2024-04-08 15:10:00+00:00,300,40.638127191711746,17.418053944905598,6.737497609375237e-08,1.3686144397506718e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.004180332946777343,4.084728401376391e-10,0.011429550686248563,0.015609884041498748,157.325,1.2732982412650529,0.5286609941375502,158.59829824126504
15,2024-04-08 15:15:00+00:00,300,41.181991555474696,17.418020566304527,6.398497609375237e-08,1.5196144397506718e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.004180324935913087,4.3189284013763906e-10,0.011496998044530448,0.015677323412336377,157.325,1.2787992707442781,0.5286793309024809,158.60379927074428
16,2024-04-08 15:20:00+00:00,300,45.22827210858185,17.420136133829754,6.872497609375237e-08,1.489614439750672e-07,12,200,81.57,1887.9,3600,3600,1,1,5mins,0.0041808326721191405,4.353728401376391e-10,0.011975526773893238,0.016156359881385217,157.325,1.317874275524592,0.5288095809184152,158.64287427552458
